开始时间,结束时间,粒度,云环境,服务器ID,服务器名称,服务器当前使用功率(W),CPU温度(℃)
2023-01-17 22:55:00,2023-01-17 23:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,50.5
2023-01-17 22:50:00,2023-01-17 22:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.25
2023-01-17 22:45:00,2023-01-17 22:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,50.5
2023-01-17 22:40:00,2023-01-17 22:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,49.75
2023-01-17 22:35:00,2023-01-17 22:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.5
2023-01-17 22:30:00,2023-01-17 22:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,50.75
2023-01-17 22:25:00,2023-01-17 22:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,49.75
2023-01-17 22:20:00,2023-01-17 22:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,606,50.25
2023-01-17 22:15:00,2023-01-17 22:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.75
2023-01-17 22:10:00,2023-01-17 22:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,50.25
2023-01-17 22:05:00,2023-01-17 22:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,50.0
2023-01-17 22:00:00,2023-01-17 22:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,606,50.0
2023-01-17 21:55:00,2023-01-17 22:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,50.0
2023-01-17 21:50:00,2023-01-17 21:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,51.0
2023-01-17 21:45:00,2023-01-17 21:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.75
2023-01-17 21:40:00,2023-01-17 21:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,51.5
2023-01-17 21:35:00,2023-01-17 21:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,50.75
2023-01-17 21:30:00,2023-01-17 21:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,49.75
2023-01-17 21:25:00,2023-01-17 21:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,50.5
2023-01-17 21:20:00,2023-01-17 21:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,49.5
2023-01-17 21:15:00,2023-01-17 21:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,50.5
2023-01-17 21:10:00,2023-01-17 21:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,51.0
2023-01-17 21:05:00,2023-01-17 21:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,51.5
2023-01-17 21:00:00,2023-01-17 21:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.5
2023-01-17 20:55:00,2023-01-17 21:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,51.0
2023-01-17 20:50:00,2023-01-17 20:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.25
2023-01-17 20:45:00,2023-01-17 20:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,49.75
2023-01-17 20:40:00,2023-01-17 20:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.5
2023-01-17 20:35:00,2023-01-17 20:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,51.0
2023-01-17 20:30:00,2023-01-17 20:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.75
2023-01-17 20:25:00,2023-01-17 20:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,50.75
2023-01-17 20:20:00,2023-01-17 20:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,51.0
2023-01-17 20:15:00,2023-01-17 20:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,50.75
2023-01-17 20:10:00,2023-01-17 20:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,50.5
2023-01-17 20:05:00,2023-01-17 20:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,50.5
2023-01-17 20:00:00,2023-01-17 20:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.0
2023-01-17 19:55:00,2023-01-17 20:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,51.0
2023-01-17 19:50:00,2023-01-17 19:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,50.75
2023-01-17 19:45:00,2023-01-17 19:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,606,50.5
2023-01-17 19:40:00,2023-01-17 19:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,606,50.75
2023-01-17 19:35:00,2023-01-17 19:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.25
2023-01-17 19:30:00,2023-01-17 19:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,50.0
2023-01-17 19:25:00,2023-01-17 19:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,50.5
2023-01-17 19:20:00,2023-01-17 19:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,608,50.0
2023-01-17 19:15:00,2023-01-17 19:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,49.75
2023-01-17 19:10:00,2023-01-17 19:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,611,50.5
2023-01-17 19:05:00,2023-01-17 19:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,613,50.25
2023-01-17 19:00:00,2023-01-17 19:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,606,50.25
2023-01-17 18:55:00,2023-01-17 19:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.5
2023-01-17 18:50:00,2023-01-17 18:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,50.0
2023-01-17 18:45:00,2023-01-17 18:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,50.5
2023-01-17 18:40:00,2023-01-17 18:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,50.25
2023-01-17 18:35:00,2023-01-17 18:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,606,50.5
2023-01-17 18:30:00,2023-01-17 18:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,51.25
2023-01-17 18:25:00,2023-01-17 18:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,51.0
2023-01-17 18:20:00,2023-01-17 18:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,50.5
2023-01-17 18:15:00,2023-01-17 18:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,50.0
2023-01-17 18:10:00,2023-01-17 18:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,606,50.25
2023-01-17 18:05:00,2023-01-17 18:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,51.5
2023-01-17 18:00:00,2023-01-17 18:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,51.25
